Palos Country Club,ChIJf9c2-Vo_DogRIsBken6CW4w,13100 Southwest Highway,Orland Park,60462,,5,41.66013634782609,-87.8448726521739
The Original Island Shrimp House,ChIJIeIbA1Y_DogRE1SQ32nptYI,12902 South La Grange Road,Palos Park,60464,2,4.5,41.66013634782609,-87.8448726521739
The Plush Horse,ChIJrfU2zc44DogRg8tamG7O6Uc,12301 South 86th Avenue,Palos Park,60464,1,4.7,41.66013634782609,-87.8348726521739
The Plush Horse,ChIJrfU2zc44DogRg8tamG7O6Uc,12301 South 86th Avenue,Palos Park,60464,1,4.7,41.66013634782609,-87.8248726521739
Harvest Room,ChIJWdQHo0o5DogRTGmcQuLSlJI,7164 West 127th Street,Palos Heights,60463,3,4.3,41.66013634782609,-87.80487265217388
Lumes Pancake House,ChIJfebqGDY5DogRkWWRK32TrdE,12401 Harlem Avenue,Palos Heights,60463,,4,41.66013634782609,-87.80487265217388
Pop's Italian Beef & Sausage - Palos Heights,ChIJF8Y8rko5DogR5Dx2JSge3hM,7153 West 127th Street,Palos Heights,60463,,4.6,41.66013634782609,-87.80487265217388
Lucano’s Pizza & Catering,ChIJDR6Vuso-DogRcYusal5xhek,12778 Harlem Avenue,Palos Heights,60463,,3.5,41.66013634782609,-87.80487265217388
Nick's Barbecue,ChIJC8lBQzU5DogR3CFcMvBULZY,12658 Harlem Avenue,Palos Heights,60463,,4,41.66013634782609,-87.80487265217388
Dunkin' Donuts,ChIJl4MLnso-DogRY0CP8a7wX2c,12807 Harlem Avenue,Palos Heights,60463,1,4.1,41.66013634782609,-87.80487265217388
McDonald's,ChIJa3bi4Eo5DogR39qMEy25YGs,7100 West 127th Street,Palos Heights,60463,1,2.7,41.66013634782609,-87.80487265217388
Harvest House restaurant,ChIJ9cWEpko5DogRvB7XDfCHWTc,7179 West 127th Street,Palos Heights,60463,,,41.66013634782609,-87.80487265217388
Jersey Mike's Subs,ChIJgQDSW7U-DogRz0yjkYujSuk,12801 Harlem Avenue,Palos Heights,60463,1,4.5,41.66013634782609,-87.80487265217388
Lou Malnati's Pizzeria,ChIJK_faW7U-DogRD_hZDPC0G1g,12801 Harlem Avenue,Palos Heights,60463,,4,41.66013634782609,-87.80487265217388
Wendy's,ChIJB2FSf8o-DogR6rEZxzuRhrk,12875 Harlem Avenue,Palos Heights,60463,1,3.8,41.66013634782609,-87.80487265217388
D IC LLC,ChIJRTzpEjY5DogRMf8SMoz9jBU,12400 Harlem Avenue,Palos Heights,60463,,,41.66013634782609,-87.80487265217388
Palos Heights Pizza Inc,ChIJ-dnzpEo5DogREgXUBpR2Nv0,7154 West 127th Street,Palos Heights,60463,,,41.66013634782609,-87.80487265217388
Lumes Pancake House,ChIJfebqGDY5DogRkWWRK32TrdE,12401 Harlem Avenue,Palos Heights,60463,,4,41.66013634782609,-87.79487265217388
Harvest Room,ChIJWdQHo0o5DogRTGmcQuLSlJI,7164 West 127th Street,Palos Heights,60463,3,4.3,41.66013634782609,-87.79487265217388
Capri Ristorante Italiano,ChIJ_ZeM0Tc5DogRaIGvDrjgguo,12307 Harlem Avenue,Palos Heights,60463,,4.5,41.66013634782609,-87.79487265217388
McDonald's,ChIJa3bi4Eo5DogR39qMEy25YGs,7100 West 127th Street,Palos Heights,60463,1,2.7,41.66013634782609,-87.79487265217388
Pop's Italian Beef & Sausage - Palos Heights,ChIJF8Y8rko5DogR5Dx2JSge3hM,7153 West 127th Street,Palos Heights,60463,,4.6,41.66013634782609,-87.79487265217388
Lucano’s Pizza & Catering,ChIJDR6Vuso-DogRcYusal5xhek,12778 Harlem Avenue,Palos Heights,60463,,3.5,41.66013634782609,-87.79487265217388
Dunkin' Donuts,ChIJl4MLnso-DogRY0CP8a7wX2c,12807 Harlem Avenue,Palos Heights,60463,1,4.1,41.66013634782609,-87.79487265217388
Nick's Barbecue,ChIJC8lBQzU5DogR3CFcMvBULZY,12658 Harlem Avenue,Palos Heights,60463,,4,41.66013634782609,-87.79487265217388
Capri Banquets,ChIJ5QE40Dc5DogR-WgY9T-kxOo,12303 Harlem Avenue,Palos Heights,60463,,,41.66013634782609,-87.79487265217388
Harvest House restaurant,ChIJ9cWEpko5DogRvB7XDfCHWTc,7179 West 127th Street,Palos Heights,60463,,,41.66013634782609,-87.79487265217388
Jersey Mike's Subs,ChIJgQDSW7U-DogRz0yjkYujSuk,12801 Harlem Avenue,Palos Heights,60463,1,4.5,41.66013634782609,-87.79487265217388
Lou Malnati's Pizzeria,ChIJK_faW7U-DogRD_hZDPC0G1g,12801 Harlem Avenue,Palos Heights,60463,,4,41.66013634782609,-87.79487265217388
Wendy's,ChIJB2FSf8o-DogR6rEZxzuRhrk,12875 Harlem Avenue,Palos Heights,60463,1,3.8,41.66013634782609,-87.79487265217388
Thai Smile,ChIJE3TU3Dc5DogRE0EXVU2UImM,12241 Harlem Avenue,Palos Heights,60463,2,4.4,41.66013634782609,-87.79487265217388
Sam Buca's,ChIJm8ff5zc5DogRkh-hk9KLS8s,12231 Harlem Avenue,Palos Heights,60463,,3.9,41.66013634782609,-87.79487265217388
Mid Villa Pizza,ChIJ1WjL6jc5DogRXMe6lWYbrbw,12226 Harlem Avenue,Palos Heights,60463,,4.9,41.66013634782609,-87.79487265217388
